"Cod.Cliente","Nome Cliente","Cidade","Estado"
"77887","MAR E RIO PESCADOS INDUSTRIA IMPORTACAO E EXPORTACAO LTDA","SAO JOSE DO RIO PRETO","SP"
"79405","CEMA CENTRAL MINEIRA ATACADISTA LTDA","LAVRAS","MG"
"80231","MART MINAS DISTRIBUIÇAO LTDA","PIRAPORA","MG"
"79509","HORTIFRUTI DIMON LTDA","NAVEGANTES","SC"
"76709","SENDAS DISTRIBUIDORA S.A","DUQUE DE CAXIAS","RJ"
"76709","SENDAS DISTRIBUIDORA S.A","DUQUE DE CAXIAS","RJ"
"57286","SUPERMERCADO GIRASSOL LTDA","BOMBINHAS","SC"
"80635","MN SUPERMERCADOS LTDA","UBERLANDIA","MG"
"53240","SUPERMERCADO NORDESTAO LTDA","SAO GONCALO DO AMARANTE","RN"
"45387","CARREFOUR COMERCIO E INDUSTRIA LTDA","TAUBATE","SP"
"79431","SUPERMERCADO ENEAS LTDA","SAO JOAO DO RIO DO PEIXE","PB"
"74286","SENDAS DISTRIBUIDORA S/A","ARACAJU","SE"
"58769","SENDAS DISTRIBUIDORA S/A","LAURO DE FREITAS","BA"
"75659","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68921","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68921","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"68921","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"80768","NATALE TANI FLEX SUPERMERCADOS LTDA","MANDURI","SP"
"80768","NATALE TANI FLEX SUPERMERCADOS LTDA","MANDURI","SP"
"52817","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"52817","MERCANTIL NOVA ERA LTDA","MANAUS","AM"
"59205","SENDAS DISTRIBUIDORA S/A","ITAQUAQUECETUBA","SP"
"30461","MOURA COMERCIO DE ALIMENTOS LTDA","CHAPECO","SC"
"30461","MOURA COMERCIO DE ALIMENTOS LTDA","CHAPECO","SC"
"30461","MOURA COMERCIO DE ALIMENTOS LTDA","CHAPECO","SC"
"59985","GERMANS DISTRIBUIDORA DE COMESTIVEIS LTDA.","NOVA IGUACU","RJ"
"30479","SUPERMERCADOS DB LTDA","MANAUS","AM"
"30479","SUPERMERCADOS DB LTDA","MANAUS","AM"
"47542","CARREFOUR COMERCIO E INDUSTRIA LTDA","BRASILIA","DF"
"47542","CARREFOUR COMERCIO E INDUSTRIA LTDA","BRASILIA","DF"
"47542","CARREFOUR COMERCIO E INDUSTRIA LTDA","BRASILIA","DF"
"47542","CARREFOUR COMERCIO E INDUSTRIA LTDA","BRASILIA","DF"
"47542","CARREFOUR COMERCIO E INDUSTRIA LTDA","BRASILIA","DF"
"45199","TRIMAIS SUPERMERCADOS S/A","SAO PAULO","SP"
"45199","TRIMAIS SUPERMERCADOS S/A","SAO PAULO","SP"
"45199","TRIMAIS SUPERMERCADOS S/A","SAO PAULO","SP"
"45199","TRIMAIS SUPERMERCADOS S/A","SAO PAULO","SP"
"45199","TRIMAIS SUPERMERCADOS S/A","SAO PAULO","SP"
"45199","TRIMAIS SUPERMERCADOS S/A","SAO PAULO","SP"
"74633","SENDAS DISTRIBUIDORA S/A","FORTALEZA","CE"
"74633","SENDAS DISTRIBUIDORA S/A","FORTALEZA","CE"
"74633","SENDAS DISTRIBUIDORA S/A","FORTALEZA","CE"
"74633","SENDAS DISTRIBUIDORA S/A","FORTALEZA","CE"
"74633","SENDAS DISTRIBUIDORA S/A","FORTALEZA","CE"
"76645","SUPERMERCADOS BH COMERCIO DE ALIMENTOS S/A","DIAMANTINA","MG"
"52065","SILVIERI SUPERMERCADOS LTDA","TREZE DE MAIO","SC"
"80242","P R DE OLIVEIRA SUPERMERCADO","SAO PEDRO DO TURVO","SP"
"80242","P R DE OLIVEIRA SUPERMERCADO","SAO PEDRO DO TURVO","SP"
"80242","P R DE OLIVEIRA SUPERMERCADO","SAO PEDRO DO TURVO","SP"
"80242","P R DE OLIVEIRA SUPERMERCADO","SAO PEDRO DO TURVO","SP"
"79140","SUPERMERCADOS BH COMERCIO DE ALIMENTOS S/A","IGARAPE","MG"
"66803","SACOI BRASIL COMERCIO DE ALIMENTOS LTDA","POTIRENDABA","SP"
"56123","SUPERMERCADO 5 IRMAOS LTDA","CAMBUI","MG"
"77535","COSTA MULTICANAL S/A","GOIANIA","GO"
"77156","KOCH HIPERMERCADO S.A","LAGUNA","SC"
